Name,Value,Fee,From,Direction
"Alexandre Lacazette","€40.00m","€53.00m","Olympique Lyon","Joined","Arsenal"
"Corentin Tolisso","€22.00m","€41.50m","Olympique Lyon","Joined","Bayern Munich"
"Emanuel Mammana","€7.00m","€16.00m","Olympique Lyon","Joined","Zenit S-Pb"
"Maxime Gonalons","€14.00m","€5.00m","Olympique Lyon","Joined","Roma"
"Maciej Rybus","€3.50m","€1.75m","Olympique Lyon","Joined","Loko Moscow"
"Mathieu Valbuena","€3.00m","€1.50m","Olympique Lyon","Joined","Fenerbahçe"
"Nicolas N'Koulou","€7.50m","Loan fee:€500k","Olympique Lyon","Joined","Torino"
"Sergi Darder","€11.00m","Loan fee:€300k","Olympique Lyon","Joined","Espanyol"
"Rachid Ghezzal","€8.00m","free transfer","Olympique Lyon","Joined","Monaco"
"Jordy Gaspar","€400k","free transfer","Olympique Lyon","Joined","Monaco"
"Clément Grenier","€2.00m","free transfer","Olympique Lyon","Joined","Guingamp"
"Christophe Jallet","€1.00m","free transfer","Olympique Lyon","Joined","Nice"
"Gaëtan Perrin","€300k","free transfer","Olympique Lyon","Joined","US Orléans"
"Christopher Martins","€400k","loan transfer","Olympique Lyon","Joined","Bourg-en-Bresse"
"Romain Del Castillo","€800k","loan transfer","Olympique Lyon","Joined","Nîmes Olympique"
"Aldo Kalulu","€1.00m","loan transfer","Olympique Lyon","Joined","FC Sochaux"
"Olivier Kemen","€1.25m","loan transfer","Olympique Lyon","Joined","G. Ajaccio"
"Jean-Philippe Mateta","€2.00m","loan transfer","Olympique Lyon","Joined","Le Havre AC"
"Gaëtan Perrin","€300k","loan transfer","Olympique Lyon","Joined","US Orléans"
"Martin Terrier","€12.00m","loan transfer","Olympique Lyon","Joined","R. Strasbourg"
"Konstantinos Mitroglou","€12.00m","€15.00m","Olympique Marseille","Left","Benfica"
"Florian Thauvin","€18.00m","€11.00m","Olympique Marseille","Left","Newcastle"
"Luiz Gustavo","€12.00m","€10.00m","Olympique Marseille","Left","Wolfsburg"
"Valère Germain","€10.00m","€8.00m","Olympique Marseille","Left","Monaco"
"Clinton N'Jie","€7.00m","€7.00m","Olympique Marseille","Left","Tottenham"
"Adil Rami","€5.00m","€6.00m","Olympique Marseille","Left","Sevilla FC"
"Steve Mandanda","€8.00m","€3.00m","Olympique Marseille","Left","Crystal Palace"
"Jordan Amavi","€10.00m","Loan fee:€2.00m","Olympique Marseille","Left","Aston Villa"
"Aymen Abdennour","€6.00m","loan transfer","Olympique Marseille","Left","Valencia"
"Boubacar Kamara","-","-","Olympique Marseille","Left","Marseille B"
"Yusuf Sarı","-","-","Olympique Marseille","Left","Marseille B"
"Romain Cagnon","-","-","Olympique Marseille","Left","Without Club"
