Name,Value,Fee,From,Direction
"Julien Fabri","€600k","free transfer","Olympique Marseille","Joined","Stade Brestois"
"Stéphane Sparagna","€1.00m","free transfer","Olympique Marseille","Joined","Boavista"
"Brice Samba","€400k","free transfer","Olympique Marseille","Joined","SM Caen"
"Saîf-Eddine Khaoui","€800k","loan transfer","Olympique Marseille","Joined","Troyes"
"Matheus Dória","€2.50m","loan transfer","Olympique Marseille","Joined","Y. Malatyaspor"
"Rémy Cabella","€7.50m","loan transfer","Olympique Marseille","Joined","Saint-Étienne"
"Abou Diaby","-","-","Olympique Marseille","Joined","Without Club"
"Gaël Andonian","€250k","-","Olympique Marseille","Joined","Marseille B"
"Patrice Evra","€1.00m","-","Olympique Marseille","Joined","Without Club"
"Aaron Leya Iseka","€1.25m","End of loanJun 30, 2017","Olympique Marseille","Joined","RSC Anderlecht"
"Zinédine Machach","€1.25m","End of loanJun 30, 2017","Olympique Marseille","Joined","Toulouse"
"Bafétimbi Gomis","€5.00m","End of loanJun 30, 2017","Olympique Marseille","Joined","Swansea"
"Florian Thauvin","€18.00m","End of loanJun 30, 2017","Olympique Marseille","Joined","Newcastle"
"Clinton N'Jie","€7.00m","End of loanJun 30, 2017","Olympique Marseille","Joined","Tottenham"
"William Vainqueur","€5.50m","End of loanJun 30, 2017","Olympique Marseille","Joined","Roma"
"Philipp Wollscheid","€2.50m","€2.50m","FC Metz","Left","Stoke City"
"Emmanuel Rivière","€1.50m","€1.10m","FC Metz","Left","Newcastle"
"Quentin Beunardeau","€350k","free transfer","FC Metz","Left","AFC Tubize"
"Gerónimo Poblete","€1.00m","free transfer","FC Metz","Left","Colon"
"Cafú","€2.50m","?","FC Metz","Left","FC Lorient"
"Nolan Roux","€2.50m","?","FC Metz","Left","Saint-Étienne"
"Moussa Niakhaté","€400k","?","FC Metz","Left","Valenciennes FC"
"Ablie Jallow","-","?","FC Metz","Left","Génération Foot"
"Ibrahima Niane","-","?","FC Metz","Left","Génération Foot"
"Brian Fernández","€500k","loan transfer","FC Metz","Left","Racing Club"
"Danijel Milicevic","€2.50m","loan transfer","FC Metz","Left","KAA Gent"
"Farid Boulaya","€400k","loan transfer","FC Metz","Left","Girona"
"Georges Mandjeck","€1.00m","loan transfer","FC Metz","Left","Sparta Prague"
"Lemouya Goudiaby","-","-","FC Metz","Left","FC Metz B"
"Julian Palmieri","€1.50m","-","FC Metz","Left","Without Club"
"Théodore Efouba Ayissi","-","-","FC Metz","Left","FC Metz B"
"Mathieu Dossevi","€3.50m","loan transfer","FC Metz","Left","Standard Liège"
"Lucas Toussaint","-","End of loanJun 30, 2017","FC Metz","Left","RFC Seraing"
"Médéric Deher","€150k","End of loanJun 30, 2017","FC Metz","Left","US Avranches"
"Hamza Sakhi","€500k","End of loanJun 30, 2017","FC Metz","Left","SAS Epinal"
"Oumar Gonzalez","€250k","End of loanJun 30, 2017","FC Metz","Left","SAS Epinal"
"Habib Diallo","€1.50m","End of loanJun 30, 2017","FC Metz","Left","Stade Brestois"
"Hamza Sakhi","€500k","End of loanApr 15, 2018","FC Metz","Left","AJ Auxerre"
"Ismaïla Sarr","€2.50m","€17.00m","FC Metz","Joined","Stade Rennais"
"Simon Falette","€3.00m","€2.70m","FC Metz","Joined","Frankfurt"
"Cheick Doukouré","€1.25m","€1.60m","FC Metz","Joined","Levante"
"Georges Mandjeck","€1.25m","€1.30m","FC Metz","Joined","Sparta Prague"
"Chris Philipps","€1.25m","€250k","FC Metz","Joined","Legia Warszawa"
"Thibaut Vion","€600k","free transfer","FC Metz","Joined","Chamois Niort"
"Médéric Deher","€150k","free transfer","FC Metz","Joined","PAE Veria"
"David Oberhauser","€300k","free transfer","FC Metz","Joined","Platanias"
"Guido Milán","€1.25m","free transfer","FC Metz","Joined","Tiburones Rojos"
"Gauthier Hein","€600k","loan transfer","FC Metz","Joined","Tours FC"
"Habib Diallo","€1.50m","loan transfer","FC Metz","Joined","Stade Brestois"
"Lucas Toussaint","-","loan transfer","FC Metz","Joined","Pau FC"
"Hamza Sakhi","€500k","loan transfer","FC Metz","Joined","AJ Auxerre"
"Hamza Sakhi","€500k","?","FC Metz","Joined","AJ Auxerre"
"Cafú","€1.00m","loan transfer","FC Metz","Joined","Legia Warszawa"
"Oumar Gonzalez","€250k","loan transfer","FC Metz","Joined","Rodez AF"
"Philipp Wollscheid","€2.50m","-","FC Metz","Joined","Without Club"
"Franck Signorino","-","-","FC Metz","Joined","Retired"
"Mevlüt Erdinç","€3.00m","End of loanJun 30, 2017","FC Metz","Joined","Hannover 96"
"Cheick Diabaté","€4.00m","End of loanJun 30, 2017","FC Metz","Joined","Osmanlispor FK"
"Brian Fernández","€500k","End of loanDec 31, 2017","FC Metz","Joined","Racing Club"
"Keita Baldé","€25.00m","€30.00m","AS Monaco","Left","Lazio"
"Youri Tielemans","€22.00m","€25.00m","AS Monaco","Left","RSC Anderlecht"
"Pietro Pellegri","€8.00m","€20.90m","AS Monaco","Left","Genoa"
"Terence Kongolo","€10.00m","€15.00m","AS Monaco","Left","Feyenoord"
"Stevan Jovetić","€10.00m","€10.50m","AS Monaco","Left","Inter"
"Adama Diakhaby","€1.50m","€10.00m","AS Monaco","Left","Stade Rennais"
"Soualiho Meïté","€7.00m","€8.00m","AS Monaco","Left","Zulte Waregem"
"Jordi Mboula","€2.00m","€3.00m","AS Monaco","Left","Barça U19"
"Rachid Ghezzal","€8.00m","free transfer","AS Monaco","Left","Lyon"
"Diego Benaglio","€1.00m","free transfer","AS Monaco","Left","Wolfsburg"
"Jordy Gaspar","€400k","free transfer","AS Monaco","Left","Lyon"
"Julien Serrano","€100k","-","AS Monaco","Left","Monaco B"
"Irvin Cardona","-","-","AS Monaco","Left","Monaco B"
"Elderson","€1.00m","End of loanJan 30, 2018","AS Monaco","Left","Sivasspor"
"Rony Lopes","€8.00m","End of loanJun 30, 2017","AS Monaco","Left","Lille"
"Jonathan Mexique","€350k","End of loanDec 31, 2017","AS Monaco","Left","Cercle Brugge"
"Elderson","€1.00m","End of loanJun 30, 2017","AS Monaco","Left","Sporting Gijón"
"Adama Traoré","€3.00m","End of loanJun 30, 2017","AS Monaco","Left","Rio Ave"
"Lacina Traoré","€2.50m","End of loanJun 30, 2017","AS Monaco","Left","Sporting Gijón"
"Corentin Jean","€2.50m","End of loanJun 30, 2017","AS Monaco","Left","Toulouse"
"Jonathan Mexique","€400k","End of loanJun 30, 2017","AS Monaco","Left","Red Star FC"
"Raphaël Diarra","€200k","End of loanJun 30, 2017","AS Monaco","Left","Cercle Brugge"
"Allan Saint-Maximin","€3.00m","End of loanJun 30, 2017","AS Monaco","Left","SC Bastia"
"Gil Dias","€2.00m","End of loanJun 30, 2017","AS Monaco","Left","Rio Ave"
"Youssef Aït Bennasser","€3.00m","End of loanJun 30, 2017","AS Monaco","Left","AS Nancy"
"Benjamin Mendy","€13.00m","€57.50m","AS Monaco","Joined","Man City"
"Bernardo Silva","€40.00m","€50.00m","AS Monaco","Joined","Man City"
"Tiemoué Bakayoko","€16.00m","€40.00m","AS Monaco","Joined","Chelsea"
"Guido Carrillo","€6.00m","€22.00m","AS Monaco","Joined","Southampton"
"Allan Saint-Maximin","€3.00m","€10.00m","AS Monaco","Joined","Nice"
"Valère Germain","€10.00m","€8.00m","AS Monaco","Joined","Marseille"
"Abdou Diallo","€1.00m","€5.00m","AS Monaco","Joined","Mainz"
"Nabil Dirar","€2.00m","€3.50m","AS Monaco","Joined","Fenerbahçe"
"Corentin Jean","€2.50m","€3.50m","AS Monaco","Joined","Toulouse"
"Jonathan Mexique","€350k","loan transfer","AS Monaco","Joined","Tours FC"
"Irvin Cardona","-","loan transfer","AS Monaco","Joined","Cercle Brugge"
"Youssef Aït Bennasser","€3.00m","loan transfer","AS Monaco","Joined","SM Caen"
"Kylian Mbappé","€35.00m","loan transfer","AS Monaco","Joined","PSG"
"Jonathan Mexique","€400k","loan transfer","AS Monaco","Joined","Cercle Brugge"
"Rúben Vinagre","€25k","loan transfer","AS Monaco","Joined","Wolves"
"Elderson","€1.00m","loan transfer","AS Monaco","Joined","Cercle Brugge"
"Jordy Gaspar","€400k","loan transfer","AS Monaco","Joined","Cercle Brugge"
"Soualiho Meïté","€7.00m","loan transfer","AS Monaco","Joined","G. Bordeaux"
"Gil Dias","€2.00m","loan transfer","AS Monaco","Joined","Fiorentina"
"Terence Kongolo","€10.00m","loan transfer","AS Monaco","Joined","Huddersfield"
"Elderson","€1.00m","loan transfer","AS Monaco","Joined","Sivasspor"
"Lacina Traoré","€2.50m","loan transfer","AS Monaco","Joined","Amiens SC"
"Morgan De Sanctis","€250k","-","AS Monaco","Joined","Retired"
"Benjamin Lecomte","€2.50m","€2.50m","Montpellier HSC","Left","FC Lorient"
"Giovanni Sio","€4.50m","€2.20m","Montpellier HSC","Left","Stade Rennais"
"Pedro Mendes","€3.00m","€1.00m","Montpellier HSC","Left","Stade Rennais"
"Ambroise Oyongo","€750k","free transfer","Montpellier HSC","Left","Montreal"
"Jeremie Porsan-Clemente","€150k","free transfer","Montpellier HSC","Left","Marseille B"
"Ruben Aguilar","€900k","free transfer","Montpellier HSC","Left","AJ Auxerre"
"Jonathan Ikoné","€700k","loan transfer","Montpellier HSC","Left","PSG"
"Facundo Píriz","€1.50m","loan transfer","Montpellier HSC","Left","Akhmat Grozny"
"Junior Sambia","€900k","loan transfer","Montpellier HSC","Left","Chamois Niort"
"Dimitry Bertaud","-","-","Montpellier HSC","Left","Montpellier B"
"Nicolas Cozza","-","-","Montpellier HSC","Left","Montpellier U19"
"Bryan Passi","-","-","Montpellier HSC","Left","Montpellier B"
"Bryan Passi","-","End of loanJan 30, 2018","Montpellier HSC","Left","Le Havre AC"
"Kévin Bérigaud","€1.50m","End of loanJun 30, 2017","Montpellier HSC","Left","Angers SCO"
"Steve Mounié","€5.50m","€13.00m","Montpellier HSC","Joined","Huddersfield"
"Ryad Boudebouz","€10.00m","€7.00m","Montpellier HSC","Joined","Real Betis"
"Lukas Pokorny","€1.50m","€800k","Montpellier HSC","Joined","Slavia Praha"
"Kévin Bérigaud","€1.50m","free transfer","Montpellier HSC","Joined","Pafos"
"William Rémy","€1.50m","free transfer","Montpellier HSC","Joined","Legia Warszawa"
"Geoffrey Jourdren","€2.00m","free transfer","Montpellier HSC","Joined","AS Nancy"
"Joris Marveaux","€250k","free transfer","Montpellier HSC","Joined","G. Ajaccio"
"Alexandre Llovet","-","free transfer","Montpellier HSC","Joined","Lusitanos"
"Mamadou N'Diaye","€400k","free transfer","Montpellier HSC","Joined","US Avranches"
"Jonathan Ligali","€600k","loan transfer","Montpellier HSC","Joined","USL Dunkerque"
"Bryan Passi","-","loan transfer","Montpellier HSC","Joined","Le Havre AC"
"Stéphane Sessègnon","€1.00m","?","Montpellier HSC","Joined","Genclerbirligi"
"Mathieu Deplagne","€1.25m","?","Montpellier HSC","Joined","Troyes"
"Cédric Mongongu","€800k","-","Montpellier HSC","Joined","Without Club"
"Yacouba Sylla","€1.75m","End of loanJun 30, 2017","Montpellier HSC","Joined","Stade Rennais"
"Jonathan Ikoné","€700k","End of loanJun 30, 2017","Montpellier HSC","Joined","PSG"
"Kalifa Coulibaly","€3.00m","€4.50m","FC Nantes","Left","KAA Gent"
"Ciprian Tătărușanu","€4.00m","€2.50m","FC Nantes","Left","Fiorentina"
"Andrei Girotto","€1.00m","€2.30m","FC Nantes","Left","Tombense"
"Nicolas Pallois","€3.50m","€2.00m","FC Nantes","Left","G. Bordeaux"
"Santy Ngom","€100k","free transfer","FC Nantes","Left","Suze-sur-Sarthe"
"Yassine El Ghanassy","€2.00m","?","FC Nantes","Left","KV Oostende"
"Joris Kayembe","€1.00m","?","FC Nantes","Left","FC Porto B"
"Chidozie Awaziem","€1.25m","loan transfer","FC Nantes","Left","FC Porto B"
"Rene Krhin","€1.50m","loan transfer","FC Nantes","Left","Granada CF"
"David Alcibiade","€100k","-","FC Nantes","Left","Without Club"
"Samuel Moutoussamy","-","-","FC Nantes","Left","FC Nantes B"
"Najib Gandi","-","-","FC Nantes","Left","FC Nantes B"
"Randal Kolo Muani","-","-","FC Nantes","Left","FC Nantes B"
"Fernando Aristeguieta","€750k","End of loanJun 30, 2017","FC Nantes","Left","Nacional"
"Amine Harit","€2.00m","€8.00m","FC Nantes","Joined","FC Schalke 04"
"Rémy Riou","€4.00m","€1.00m","FC Nantes","Joined","Alanyaspor"
"Guillaume Gillet","€1.00m","€1.00m","FC Nantes","Joined","Olympiacos"
"Wilfried Moimbé","€900k","free transfer","FC Nantes","Joined","Oldham Athletic"
"Oswaldo Vizcarrondo","€500k","free transfer","FC Nantes","Joined","Troyes"
"Fernando Aristeguieta","€750k","free transfer","FC Nantes","Joined","Caracas FC"
"Anthony Walongwa","€400k","loan transfer","FC Nantes","Joined","Grenoble"
"Alexandre Olliero","€150k","loan transfer","FC Nantes","Joined","Chamois Niort"
"Mariusz Stepinski","€2.50m","loan transfer","FC Nantes","Joined","Chievo Verona"
"Sérgio Oliveira","€1.50m","End of loanJun 30, 2017","FC Nantes","Joined","Porto"
"Felipe Pardo","€5.00m","End of loanJun 30, 2017","FC Nantes","Joined","Olympiacos"
"Allan Saint-Maximin","€3.00m","€10.00m","OGC Nice","Left","Monaco"
"Jean-Victor Makengo","€900k","€6.00m","OGC Nice","Left","SM Caen"
"Pierre Lees-Melou","€2.50m","€4.00m","OGC Nice","Left","Dijon"
"Racine Coly","€1.50m","€3.50m","OGC Nice","Left","Brescia"
"Ihsan Sacko","€400k","€2.00m","OGC Nice","Left","R. Strasbourg"
"Adrien Tamèze","€800k","€800k","OGC Nice","Left","Valenciennes FC"
"Wesley Sneijder","€6.50m","free transfer","OGC Nice","Left","Galatasaray"
"Christophe Jallet","€1.00m","free transfer","OGC Nice","Left","Lyon"
"Nampalys Mendy","€10.00m","loan transfer","OGC Nice","Left","Leicester"
"Marlon","€5.00m","loan transfer","OGC Nice","Left","Barcelona"
"Romain Perraud","-","-","OGC Nice","Left","OGC Nice B"
"Mouez Hassen","€1.00m","End of loanJun 30, 2017","OGC Nice","Left","Southampton"
"Saïd Benrahma","€1.00m","End of loanJun 30, 2017","OGC Nice","Left","G. Ajaccio"
"Dorian Caddy","€400k","End of loanJun 30, 2017","OGC Nice","Left","Clermont Foot"
"Franck Honorat","€400k","End of loanJun 30, 2017","OGC Nice","Left","FC Sochaux"
"Dalbert","€5.00m","€21.00m","OGC Nice","Joined","Inter"
"Valentin Eysseric","€7.00m","€3.50m","OGC Nice","Joined","Fiorentina"
"Vincent Koziello","€11.00m","€3.00m","OGC Nice","Joined","1.FC Köln"
"Alexy Bosetti","€800k","free transfer","OGC Nice","Joined","Stade Lavallois"
"Franck Honorat","€400k","free transfer","OGC Nice","Joined","Clermont Foot"
"Dorian Caddy","€400k","free transfer","OGC Nice","Joined","Quevilly Rouen"
"Paul Baysse","€3.50m","free transfer","OGC Nice","Joined","Málaga CF"
"Wesley Sneijder","€5.00m","free transfer","OGC Nice","Joined","Al-Gharafa"
"Mouez Hassen","€1.00m","loan transfer","OGC Nice","Joined","LB Châteauroux"
"Saïd Benrahma","€1.00m","loan transfer","OGC Nice","Joined","LB Châteauroux"
"Olivier Boscagli","€800k","loan transfer","OGC Nice","Joined","Nîmes Olympique"
"Gautier Lloris","€150k","loan transfer","OGC Nice","Joined","G. Ajaccio"
"Rémi Walter","€3.00m","loan transfer","OGC Nice","Joined","Troyes"
"Simon Pouplin","-","-","OGC Nice","Joined","Retired"
"Bryan Constant","€150k","-","OGC Nice","Joined","Without Club"
"Mounir Obbadi","€1.00m","-","OGC Nice","Joined","Without Club"
"Younès Belhanda","€9.00m","End of loanJun 30, 2017","OGC Nice","Joined","Dynamo Kyiv"
"Anastasios Donis","€1.25m","End of loanJun 30, 2017","OGC Nice","Joined","Juventus"
"Ricardo Pereira","€9.00m","End of loanJun 30, 2017","OGC Nice","Joined","Porto"
"Neymar","€100.00m","€222.00m","Paris Saint-Germain","Left","Barcelona"
"Yuri Berchiche","€10.00m","€16.00m","Paris Saint-Germain","Left","Real Sociedad"
"Lassana Diarra","€2.50m","free transfer","Paris Saint-Germain","Left","Al-Jazira"
"Dani Alves","€6.00m","free transfer","Paris Saint-Germain","Left","Juventus"
"Kylian Mbappé","€35.00m","loan transfer","Paris Saint-Germain","Left","Monaco"
"Rémy Descamps","€150k","-","Paris Saint-Germain","Left","Paris SG B"
"Salvatore Sirigu","€4.00m","End of loanJun 30, 2017","Paris Saint-Germain","Left","CA Osasuna"
"Jesé","€7.50m","End of loanJun 30, 2017","Paris Saint-Germain","Left","UD Las Palmas"
"Jonathan Ikoné","€700k","End of loanJun 30, 2017","Paris Saint-Germain","Left","Montpellier"
"Jean-Christophe Bahebeck","€2.50m","End of loanJun 30, 2017","Paris Saint-Germain","Left","Pescara"
"Youssouf Sabaly","€4.50m","End of loanJun 30, 2017","Paris Saint-Germain","Left","G. Bordeaux"
"Lucas Moura","€28.00m","€28.40m","Paris Saint-Germain","Joined","Tottenham"
"Serge Aurier","€15.00m","€25.00m","Paris Saint-Germain","Joined","Tottenham"
"Blaise Matuidi","€30.00m","€25.00m","Paris Saint-Germain","Joined","Juventus"
"Jean-Kévin Augustin","€3.00m","€16.00m","Paris Saint-Germain","Joined","Leipzig"
"Youssouf Sabaly","€4.50m","€4.00m","Paris Saint-Germain","Joined","G. Bordeaux"
"Salvatore Sirigu","€4.00m","free transfer","Paris Saint-Germain","Joined","Torino"
"Jesé","€7.50m","loan transfer","Paris Saint-Germain","Joined","Stoke City"
"Jonathan Ikoné","€700k","loan transfer","Paris Saint-Germain","Joined","Montpellier"
"Odsonne Édouard","€1.50m","loan transfer","Paris Saint-Germain","Joined","Celtic"
"Rémy Descamps","€150k","loan transfer","Paris Saint-Germain","Joined","Tours FC"
"Jean-Christophe Bahebeck","€2.50m","loan transfer","Paris Saint-Germain","Joined","Utrecht"
"Gonçalo Guedes","€17.00m","loan transfer","Paris Saint-Germain","Joined","Valencia"
"Grzegorz Krychowiak","€25.00m","loan transfer","Paris Saint-Germain","Joined","West Brom"
"Maxwell","€1.00m","-","Paris Saint-Germain","Joined","Retired"
"Ismaïla Sarr","€2.50m","€17.00m","Stade Rennais FC","Left","FC Metz"
"Rafik Guitane","€150k","€8.00m","Stade Rennais FC","Left","Le Havre AC"
"Faitout Maouassa","€800k","€7.00m","Stade Rennais FC","Left","AS Nancy"
"Diafra Sakho","€8.00m","€5.00m","Stade Rennais FC","Left","West Ham"
"Benjamin Bourigeaud","€1.75m","€3.50m","Stade Rennais FC","Left","Lens"
"Tomas Koubek","€1.50m","€3.00m","Stade Rennais FC","Left","Sparta Prague"
"Brandon Thomas","€800k","€3.00m","Stade Rennais FC","Left","RCD Mallorca"
"Hamari Traoré","€2.00m","€2.40m","Stade Rennais FC","Left","Stade Reims"
"Jordan Tell","-","free transfer","Stade Rennais FC","Left","SM Caen B"
"Wahbi Khazri","€7.00m","loan transfer","Stade Rennais FC","Left","Sunderland"
"Jérémy Gélin","€150k","-","Stade Rennais FC","Left","Rennes B"
"Sabri Toufiqui","-","-","Stade Rennais FC","Left","Rennes B"
"James Léa Siliki","€150k","-","Stade Rennais FC","Left","Rennes B"
"Yacouba Sylla","€1.75m","End of loanJun 30, 2017","Stade Rennais FC","Left","Montpellier"
"Yacouba Sylla","€1.50m","End of loanJan 8, 2018","Stade Rennais FC","Left","Panathinaikos"
"Kermit Erasmus","€1.25m","End of loanJun 30, 2017","Stade Rennais FC","Left","Lens"
"Abdoulaye Diallo","€1.00m","End of loanJun 30, 2017","Stade Rennais FC","Left","C. Rizespor"
"Anthony Ribelin","€250k","End of loanJun 30, 2017","Stade Rennais FC","Left","Paris FC"
"Séga Coulibaly","€150k","End of loanJun 30, 2017","Stade Rennais FC","Left","CS Sedan"
"Adama Diakhaby","€1.50m","€10.00m","Stade Rennais FC","Joined","Monaco"
"Giovanni Sio","€4.50m","€2.20m","Stade Rennais FC","Joined","Montpellier"
"Wesley Saïd","€1.50m","€1.50m","Stade Rennais FC","Joined","Dijon"
"Pedro Mendes","€3.00m","€1.00m","Stade Rennais FC","Joined","Montpellier"
"Yacouba Sylla","€1.50m","€750k","Stade Rennais FC","Joined","KV Mechelen"
"Gelson Fernandes","€2.50m","€350k","Stade Rennais FC","Joined","Frankfurt"
