Name, Nation, Position, Club, League, Age, YearBorn,MP,Mins,Mn/MP,Min%, 90s,Starts,Mn/Start,CompleteMatches,Subs,Mn/Sub, unusedSub, PointsPerMatch, GoalsScoredOnPitch,GoalsAllowedOnPitch,Scored-Allowed, Scored-Allowed90,gOnOffPlusMinus90,XgGoalsScoredOnPitch,XgGoalsAllowedOnPitch,XgScored-Allowed, XgScored-Allowed90, XgOnOffPlusMinus90
"Nayef Aguerd","maMAR","DF","Dijon","frLigue 1","23","1996","11","957","87","38.0","10.6","11","87","10","0","","3","1.27","9","13","-4","-0.38","-0.03","12.0","14.5","-2.5","-0.23","+0.08",
"Sergio Agüero","arARG","FW","Manchester City","engPremier League","31","1988","24","1,452","61","42.5","16.1","18","75","8","6","16","2","2.08","44","18","+26","+1.61","-0.26","39.5","16.2","+23.2","+1.44","-0.05",
"Ruben Aguilar","frFRA","DF","Monaco","frLigue 1","26","1993","19","1,072","56","42.5","11.9","11","83","9","8","20","5","1.32","20","16","+4","+0.34","+0.58","22.5","16.3","+6.2","+0.52","+0.53",
"Emmanuel Agyemang-Badu","ghGHA","MF","Hellas Verona","itSerie A","28","1990","10","230","23","6.7","2.6","2","78","1","8","9","9","1.90","4","6","-2","-0.78","-0.73","1.8","4.8","-3.0","-1.16","-1.15",
"Jean-Eudes Aholou","ciCIV","MF","Saint-Étienne","frLigue 1","25","1994","11","630","57","25.0","7.0","8","61","2","3","47","3","1.00","8","10","-2","-0.29","+0.38","9.6","8.0","+1.6","+0.23","+0.65",
"Joseph Aidoo","ghGHA","DF","Celta Vigo","esLa Liga","23","1995","32","2,502","78","73.2","27.8","27","89","25","5","20","5","0.97","24","34","-10","-0.36","-0.16","28.5","31.9","-3.4","-0.12","+0.15",
"Ola Aina","ngNGA","DF","Torino","itSerie A","22","1996","32","2,079","65","60.8","23.1","20","84","12","12","33","5","1.13","35","39","-4","-0.17","+1.03","30.2","34.7","-4.5","-0.19","+0.58",
"Youssef Aït Bennasser","maMAR","MF","Bordeaux","frLigue 1","23","1996","12","536","45","21.3","6.0","6","79","2","6","10","5","1.17","7","6","+1","+0.17","-0.06","5.7","7.2","-1.5","-0.25","-0.02",
"Rayan Aït-Nouri","dzALG","DF","Angers","frLigue 1","18","2001","17","1,282","75","50.9","14.2","16","79","10","1","19","0","1.53","18","17","+1","+0.07","+0.51","16.8","13.8","+3.1","+0.22","+0.37",
"Albian Ajeti","chSUI","FW","West Ham","engPremier League","22","1997","9","139","15","4.1","1.5","0","","0","9","15","19","0.22","2","3","-1","-0.65","-0.32","2.7","1.4","+1.2","+0.80","+1.25",
"Ludovic Ajorque","frFRA","FW","Strasbourg","frLigue 1","25","1994","26","2,058","79","84.7","22.9","24","84","12","2","20","1","1.46","31","21","+10","+0.44","+2.86","28.6","25.4","+3.2","+0.14","+0.43",
"Manuel Akanji","chSUI","DF","Dortmund","deBundesliga","24","1995","29","2,309","80","75.5","25.7","25","90","24","4","16","2","2.14","70","31","+39","+1.52","+1.04","49.4","27.9","+21.5","+0.84","+1.01",
"Marley Aké","frFRA","FW,MF","Marseille","frLigue 1","18","2001","9","99","11","3.9","1.1","0","","0","9","10","15","1.89","3","3","0","0.00","-0.45","2.4","1.6","+0.7","+0.66","+0.52",
"Nathan Aké","nlNED","DF","Bournemouth","engPremier League","24","1995","29","2,503","86","73.2","27.8","29","86","27","0","","1","0.93","30","46","-16","-0.58","+0.31","32.7","44.9","-12.2","-0.44","+0.08",
"Sergio Akieme","esESP","DF","Barcelona","esLa Liga","21","1997","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Chadrac Akolo","cdCOD","FW,MF","Amiens","frLigue 1","24","1995","15","544","36","21.6","6.0","5","65","0","10","22","6","0.87","7","16","-9","-1.49","-1.03","6.5","11.0","-4.4","-0.74","-0.40",
"Kevin Akpoguma","ngNGA","DF","Hoffenheim","deBundesliga","24","1995","18","1,142","63","37.3","12.7","12","86","11","6","18","14","1.50","19","19","0","0.00","0.00","19.9","24.1","-4.2","-0.33","-0.37",
"David Alaba","atAUT","DF","Bayern Munich","deBundesliga","27","1992","28","2,498","89","81.6","27.8","27","90","26","1","79","3","2.46","86","24","+62","+2.23","+1.27","75.3","30.1","+45.2","+1.63","+0.61",
"Sofiane Alakouch","maMAR","DF","Nîmes","frLigue 1","21","1998","17","1,400","82","55.6","15.6","17","82","11","0","","8","0.76","13","23","-10","-0.64","-0.24","16.7","21.9","-5.2","-0.33","+0.11",
"Lucas Alario","arARG","FW","Leverkusen","deBundesliga","26","1992","24","1,174","49","38.4","13.0","11","85","7","13","18","9","1.58","18","20","-2","-0.15","-1.06","22.4","19.7","+2.7","+0.21","-0.03",
"Fabrizio Alastra","itITA","GK","Parma","itSerie A","21","1997","0","","","","","0","","0","0","","20","","","","","","","","","","","",
"Jordi Alba","esESP","DF","Barcelona","esLa Liga","30","1989","27","2,187","81","63.9","24.3","25","86","21","2","23","2","2.04","53","23","+30","+1.23","-0.08","41.8","23.3","+18.5","+0.76","+0.06",
"Luis Alberto","esESP","MF","Lazio","itSerie A","26","1992","36","3,113","86","91.0","34.6","36","86","26","0","","0","2.08","75","37","+38","+1.10","+1.39","62.3","44.3","+18.0","+0.52","+0.87",
"Raúl Albiol","esESP","DF","Villarreal","esLa Liga","33","1985","36","3,237","90","94.6","36.0","36","90","35","0","","1","1.67","61","44","+17","+0.47","+1.95","60.9","42.7","+18.1","+0.50","+0.92",
"Marc Albrighton","engENG","MF,DF","Leicester City","engPremier League","29","1989","20","867","43","25.4","9.6","9","69","2","11","22","16","1.45","16","11","+5","+0.52","-0.22","15.3","12.0","+3.2","+0.34","-0.14",
