Player, Nation, Position, Club, League, Age, YearBorn, 90s, Goals, Shots, SoT, SoT%, Sh/90, SoT/90,G/Sh,G/SoT,DistAvg, FKAtt,PKMade,PKAtt, xG, npxG, npxG/Sh, G-xG, np:G-xG, Matches
"Félix Lemaréchal","frFRA","MF","Monaco","frLigue 1","17","2003","0.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Mario Lemina","gaGAB","MF","Nice","frLigue 1","27","1993","21.9","2","16","4","25.0","0.73","0.18","0.13","0.50","15.5","0","0","0","2.0","2.0","0.12","0.0","0.0",
"Fabien Lemoine","frFRA","MF","Lorient","frLigue 1","34","1987","12.4","0","4","0","0.0","0.32","0.00","0.00","","19.4","0","0","0","0.2","0.2","0.05","-0.2","-0.2",
"Tim Lemperle","deGER","FW,MF","Köln","deBundesliga","19","2002","1.7","2","7","3","42.9","4.23","1.81","0.29","0.67","10.3","0","0","0","1.4","1.4","0.21","+0.6","+0.6",
"Ruben Lendinez","esESP","DF","Valencia","esLa Liga","18","2003","1.5","0","1","0","0.0","0.66","0.00","0.00","","14.2","0","0","0","0.0","0.0","0.01","0.0","0.0",
"Clément Lenglet","frFRA","DF","Barcelona","esLa Liga","26","1995","9.2","0","2","1","50.0","0.22","0.11","0.00","0.00","10.1","0","0","0","0.2","0.2","0.09","-0.2","-0.2",
"Aaron Lennon","engENG","MF,FW","Burnley","engPremier League","34","1987","17.2","2","12","4","33.3","0.70","0.23","0.17","0.50","20.1","0","0","0","1.1","1.1","0.09","+0.9","+0.9",
"Bernd Leno","deGER","GK","Arsenal","engPremier League","29","1992","4.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Christopher Lenz","deGER","DF","Eint Frankfurt","deBundesliga","26","1994","7.4","0","6","0","0.0","0.81","0.00","0.00","","23.7","0","0","0","0.1","0.1","0.02","-0.1","-0.1",
"Léo Leroy","frFRA","MF","Montpellier","frLigue 1","21","2000","7.0","0","8","3","37.5","1.15","0.43","0.00","0.00","26.8","0","0","0","0.2","0.2","0.03","-0.2","-0.2",
"Alexandre Letellier","frFRA","GK","Paris S-G","frLigue 1","30","1990","0.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Robert Lewandowski","plPOL","FW","Bayern Munich","deBundesliga","32","1988","32.7","35","156","75","48.1","4.77","2.29","0.19","0.40","13.6","3","5","5","33.2","29.3","0.19","+1.8","+0.7",
"Jamie Leweling","deGER","FW,MF","Greuther Fürth","deBundesliga","20","2001","21.8","5","44","17","38.6","2.02","0.78","0.11","0.29","17.6","0","0","0","4.0","4.0","0.09","+1.0","+1.0",
"Jamal Lewis","nirNIR","DF","Newcastle Utd","engPremier League","23","1998","2.9","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Luca Lezzerini","itITA","GK","Venezia","itSerie A","26","1995","5.5","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Ben Lhassine Kone","ciCIV","MF","Torino","itSerie A","21","2000","0.9","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Yanis Lhery","frFRA","FW,MF","Saint-Étienne","frLigue 1","18","2003","0.8","0","2","1","50.0","2.50","1.25","0.00","0.00","16.3","0","0","0","0.2","0.2","0.11","-0.2","-0.2",
"Dimitri Liénard","frFRA","DF,MF","Strasbourg","frLigue 1","33","1988","22.7","2","23","3","13.0","1.01","0.13","0.09","0.67","21.2","4","0","0","1.4","1.4","0.06","+0.6","+0.6",
"Philipp Lienhart","atAUT","DF","Freiburg","deBundesliga","25","1996","31.9","5","19","7","36.8","0.60","0.22","0.26","0.71","9.2","0","0","0","3.3","3.3","0.19","+1.7","+1.7",
"Matthijs de Ligt","nlNED","DF","Juventus","itSerie A","21","1999","29.7","3","20","10","50.0","0.67","0.34","0.15","0.30","13.4","0","0","0","1.6","1.6","0.08","+1.4","+1.4",
"Isaac Lihadji","frFRA","MF,FW","Lille","frLigue 1","19","2002","2.6","1","3","2","66.7","1.13","0.76","0.33","0.50","19.0","0","0","0","0.9","0.9","0.31","+0.1","+0.1",
"Anderson Lima","brBRA","MF","Lazio","itSerie A","21","1999","0.7","0","1","0","0.0","1.38","0.00","0.00","","8.8","0","0","0","0.1","0.1","0.07","-0.1","-0.1",
"Andreas Linde","seSWE","GK","Greuther Fürth","deBundesliga","28","1993","12.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Victor Lindelöf","seSWE","DF","Manchester Utd","engPremier League","27","1994","26.2","0","3","2","66.7","0.11","0.08","0.00","0.00","8.6","0","0","0","0.2","0.2","0.07","-0.2","-0.2",
"Jesper Lindstrøm","dkDEN","MF,FW","Eint Frankfurt","deBundesliga","21","2000","22.0","5","54","18","33.3","2.46","0.82","0.09","0.28","17.1","3","0","0","8.0","8.0","0.15","-3.0","-3.0",
"Karol Linetty","plPOL","MF,FW","Torino","itSerie A","26","1995","10.0","0","13","2","15.4","1.31","0.20","0.00","0.00","19.6","0","0","0","0.7","0.7","0.06","-0.7","-0.7",
"Jesse Lingard","engENG","FW,MF","Manchester Utd","engPremier League","28","1992","4.1","2","8","6","75.0","1.96","1.47","0.25","0.33","18.6","0","0","0","0.6","0.6","0.08","+1.4","+1.4",
"Pol Lirola","esESP","DF,FW","Marseille","frLigue 1","23","1997","19.7","1","13","2","15.4","0.66","0.10","0.08","0.50","20.9","0","0","0","1.4","1.4","0.10","-0.4","-0.4",
"Valentino Livramento","engENG","DF","Southampton","engPremier League","18","2002","24.5","1","12","3","25.0","0.49","0.12","0.08","0.33","15.9","0","0","0","1.4","1.4","0.12","-0.4","-0.4",
"Dejan Ljubicic","atAUT","MF,FW","Köln","deBundesliga","23","1997","21.9","3","29","7","24.1","1.33","0.32","0.10","0.43","20.1","0","0","0","1.8","1.8","0.06","+1.2","+1.2",
