Name, Nation, Position, Club, League, Age, YearBorn, 90s,Touches, DefPenTouches, Def3rdTouches,Mid3rdTouches,Att3rdTouches, AttPenAreaTouches,LiveBallTouches, TakeOnAtt,TakeOnSucc,TakeOnSucc%,TackledDuringTakeOn,TackledDuringTakeOn%, Carries,CarryDistTot, ProgressiveCarryDist,ProgressiveCarries,CarriesIntoFinal3rd, CarriesIntoPenArea, MisControls, Dispossessed, PassesRecieved,ProgPassesRecieved"Patrick van Aanholt","nlNED","DF","Crystal Palace","engPremier League","26","1990","24.3","1435","90","445","616","391","32","1435","31","26","83.9","5","16.1","717","3714","1966","46","33","7","37","18","711","86",
"Jann-Fiete Arp","deGER","FW,MF","Hamburger SV","deBundesliga","17","2000","9.4","248","8","10","114","126","36","248","22","10","45.5","12","54.5","171","747","249","9","9","5","31","16","198","58",
"Alejandro Arribas","esESP","DF","La Coruña","esLa Liga","28","1989","3.0","140","12","73","66","3","2","140","1","1","100.0","0","0.0","73","285","112","0","0","0","1","2","87","0",
"Sergio Arribas","esESP","MF","Leganés","esLa Liga","22","1995","0.3","13","0","5","5","3","0","13","0","0","","0","","7","41","15","0","0","0","0","2","9","2",
"Kepa Arrizabalaga","esESP","GK","Athletic Club","esLa Liga","22","1994","30.0","1114","927","1112","2","0","0","1114","0","0","","0","","591","3678","2457","0","0","0","0","0","508","0",
"Harry Arter","ieIRL","MF","Bournemouth","engPremier League","27","1989","10.7","673","17","130","455","98","1","673","8","4","50.0","4","50.0","364","2100","965","14","10","0","8","8","489","8",
"Aythami Artiles","esESP","DF","Las Palmas","esLa Liga","31","1986","2.0","124","26","89","33","3","3","124","0","0","","0","","60","232","97","0","1","0","1","0","69","1",
"Kwadwo Asamoah","ghGHA","DF","Juventus","itSerie A","28","1988","17.4","1441","40","383","780","287","7","1441","39","23","59.0","16","41.0","1005","4812","2726","49","41","5","16","19","1067","88",
"Takuma Asano","jpJPN","FW,MF","Stuttgart","deBundesliga","22","1994","8.0","267","2","14","93","166","41","267","27","8","29.6","19","70.4","180","1247","539","24","20","13","16","14","207","56",
"Santiago Ascacíbar","arARG","MF","Stuttgart","deBundesliga","20","1997","26.5","1403","55","327","928","161","8","1403","26","10","38.5","16","61.5","564","2453","1193","17","16","0","14","18","770","29",
"Sergio Asenjo","esESP","GK","Villarreal","esLa Liga","28","1989","23.0","714","650","712","2","0","0","714","1","1","100.0","0","0.0","288","2090","1366","0","0","0","1","0","175","0",
