Name, Nation, Position, Club, League, Age, YearBorn, 90s,Touches, DefPenTouches, Def3rdTouches,Mid3rdTouches,Att3rdTouches, AttPenAreaTouches,LiveBallTouches, TakeOnAtt,TakeOnSucc,TakeOnSucc%,TackledDuringTakeOn,TackledDuringTakeOn%, Carries,CarryDistTot, ProgressiveCarryDist,ProgressiveCarries,CarriesIntoFinal3rd, CarriesIntoPenArea, MisControls, Dispossessed, PassesRecieved,ProgPassesRecieved 
"Johan Bakayoko","beBEL","FW","RB Leipzig","deBundesliga","22-221","2003","6.5","273","4","33","116","124","32","273","27","13","48.1","12","44.4","178","1140","582","21","9","10","11","5","213","58",
"Darryl Bakola","frFRA","MF","Marseille","frLigue 1","17-362","2007","0.3","31","2","9","14","9","1","31","0","0","","0","","25","111","45","1","2","0","0","0","27","2",
"Ridle Baku","deGER","DF","RB Leipzig","deBundesliga","27-233","1998","10.8","903","48","327","401","184","25","903","19","8","42.1","10","52.6","495","2380","1409","27","18","2","16","5","567","43",
"Dilane Bakwa","frFRA","FW,MF","Nott'ham Forest","engPremier League","23-093","2002","1.9","127","3","18","34","78","6","127","11","2","18.2","8","72.7","79","501","196","6","6","3","4","1","92","22",
"Dilane Bakwa","frFRA","DF,MF","Strasbourg","frLigue 1","23-093","2002","1.2","69","1","9","19","42","5","69","11","5","45.5","4","36.4","51","527","250","10","10","2","4","1","50","17",
"Tommaso Baldanzi","itITA","FW,MF","Roma","itSerie A","22-249","2003","2.8","140","0","10","59","72","10","140","7","0","0.0","5","71.4","101","497","217","5","5","2","6","4","104","20",
"Alejandro Balde","esESP","DF","Barcelona","esLa Liga","22-040","2003","7.0","482","12","124","179","185","18","482","14","7","50.0","4","28.6","260","1354","697","18","12","7","6","4","340","48",
"Fabio Baldé","ptPOR","FW,MF","Hamburger SV","deBundesliga","20-130","2005","0.9","42","1","8","10","26","4","42","4","2","50.0","2","50.0","20","217","92","2","3","2","4","2","22","6",
"Carlos Baleba","cmCMR","MF","Brighton","engPremier League","21-328","2004","7.7","376","17","90","237","56","0","376","9","5","55.6","3","33.3","219","985","433","7","6","0","15","9","218","7",
"Leonardo Balerdi","arARG","DF","Marseille","frLigue 1","26-305","1999","7.6","666","71","298","338","34","9","666","5","3","60.0","2","40.0","443","1681","883","1","1","0","4","1","485","2",
"Daniel Ballard","nirNIR","DF","Sunderland","engPremier League","26-066","1999","7.5","425","65","227","166","34","26","425","0","0","","0","","227","1371","809","2","2","0","2","1","247","3",
"Iván Balliu","alALB","DF","Rayo Vallecano","esLa Liga","33-330","1992","1.5","115","3","28","66","22","1","115","3","2","66.7","1","33.3","65","277","169","4","1","1","2","0","78","5",
"Fodé Ballo-Touré","snSEN","DF","Metz","frLigue 1","28-328","1997","2.7","201","10","83","93","25","3","201","10","4","40.0","4","40.0","122","640","393","8","2","0","7","2","141","12",
"Folarin Balogun","usUSA","FW","Monaco","frLigue 1","24-147","2001","6.4","186","5","12","80","96","44","185","12","6","50.0","6","50.0","104","713","357","13","10","13","16","11","146","50",
"Abdoulaye Bamba","ciCIV","DF","Angers","frLigue 1","35-216","1990","0.1","9","1","1","5","3","0","9","0","0","","0","","4","7","3","0","0","0","0","0","5","2",
"Aladji Bamba","frFRA","MF","Monaco","frLigue 1","19-136","2006","1.5","148","4","27","110","12","0","148","1","0","0.0","1","100.0","79","345","158","1","0","0","2","4","111","2",
"Mohamed Bamba","ciCIV","FW","Lorient","frLigue 1","23-352","2001","6.6","172","7","24","91","59","20","171","5","2","40.0","2","40.0","86","332","155","4","2","3","18","3","113","22",
"Lameck Banda","zmZAM","FW","Lecce","itSerie A","24-302","2001","4.6","173","3","24","70","82","10","173","16","3","18.8","11","68.8","114","798","358","10","6","3","20","7","115","32",
"Noahkai Banks","usUSA","DF","Augsburg","deBundesliga","18-361","2006","5.9","342","29","111","201","32","4","342","6","1","16.7","2","33.3","160","809","341","4","3","0","1","0","216","5",
