Name, Nation, Position, Club, League, Age, YearBorn, 90s,Touches, DefPenTouches, Def3rdTouches,Mid3rdTouches,Att3rdTouches, AttPenAreaTouches,LiveBallTouches, TakeOnAtt,TakeOnSucc,TakeOnSucc%,TackledDuringTakeOn,TackledDuringTakeOn%, Carries,CarryDistTot, ProgressiveCarryDist,ProgressiveCarries,CarriesIntoFinal3rd, CarriesIntoPenArea, MisControls, Dispossessed, PassesRecieved,ProgPassesRecieved
"Daniel Amartey","ghGHA","DF","Leicester City","engPremier League","25","1994","8.0","572","61","286","256","33","6","572","3","1","33.3","2","66.7","301","1291","682","4","4","0","5","3","344","0",
"Jordan Amavi","frFRA","DF","Marseille","frLigue 1","26","1994","9.0","569","36","205","260","112","8","569","20","12","60.0","8","40.0","275","1532","676","17","19","2","13","9","300","33",
"Thierry Ambrose","gpGLP","FW","Metz","frLigue 1","23","1997","8.4","336","5","13","164","164","35","336","31","18","58.1","13","41.9","223","1444","580","26","17","9","33","26","277","77",
"Wisdom Amey","itITA","DF","Bologna","itSerie A","14","2005","0.0","7","0","0","5","2","0","7","0","0","","0","","2","19","15","0","0","0","0","0","2","0",
"Nadiem Amiri","deGER","MF","Leverkusen","deBundesliga","23","1996","21.0","1351","19","158","764","443","30","1351","39","21","53.8","18","46.2","777","4342","2040","45","34","8","50","23","1011","82",
"Ethan Ampadu","wlsWAL","DF,MF","Sheffield Utd","engPremier League","19","2000","23.2","1374","138","516","670","202","6","1374","15","13","86.7","2","13.3","678","4063","2384","25","28","0","16","5","765","23",
"Sofyan Amrabat","maMAR","MF","Fiorentina","itSerie A","23","1996","27.1","1603","33","270","1091","266","12","1603","71","47","66.2","24","33.8","1051","6212","2510","38","33","3","33","48","1143","46",
"Jon Ander Garrido","esESP","MF","Cádiz","esLa Liga","30","1989","8.9","317","24","101","179","38","7","317","3","2","66.7","1","33.3","112","364","129","0","2","0","8","5","134","3",
"Joachim Andersen","dkDEN","DF","Fulham","engPremier League","24","1996","30.3","2275","309","1259","944","90","25","2275","11","9","81.8","2","18.2","1304","7345","4043","20","13","1","10","3","1456","7",
"Joachim Andersen","dkDEN","DF","Lyon","frLigue 1","24","1996","2.1","138","14","78","51","9","2","138","2","1","50.0","1","50.0","86","445","259","4","1","0","2","2","93","0",
"Djavan Anderson","srSUR","DF","Lazio","itSerie A","25","1995","0.8","37","1","7","15","15","0","37","2","0","0.0","2","100.0","20","116","37","2","0","0","1","1","20","4",
"Elliot Anderson","engENG","MF","Newcastle Utd","engPremier League","17","2002","0.0","2","0","0","1","1","1","2","0","0","","0","","1","1","0","0","0","0","0","0","1","1",
"Felipe Anderson","brBRA","FW,MF","West Ham","engPremier League","27","1993","0.0","7","0","0","4","3","1","7","0","0","","0","","6","78","51","2","1","0","0","0","6","0",
"Sebastian Andersson","seSWE","FW","Köln","deBundesliga","29","1991","12.5","377","13","27","199","155","53","376","6","4","66.7","2","33.3","154","631","267","6","7","5","44","9","271","55",
