Player,Nation,Position,Club,Leauge,Age,YearBorn,90s,SCA,SCA90,scLivePass,scDeadPass,scTake-on,scShots,scFouls,scDefense,GCA,GCA90,gcLivePass,gcDeadPass,gcTake-on,gcShots,gcFouls,gcDefense,Matches
"Mads Bech Sørensen","dkDEN","DF","Brentford","engPremier League","22","1999","9.3","11","1.19","4","7","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Sheraldo Becker","srSUR","FW,MF","Union Berlin","deBundesliga","26","1995","19.5","72","3.69","59","0","3","2","8","0","11","0.56","9","0","2","0","0","0",
"Jan Bednarek","plPOL","DF","Southampton","engPremier League","25","1996","29.2","22","0.75","16","3","0","1","0","2","1","0.03","1","0","0","0","0","0",
"Donny van de Beek","nlNED","MF","Manchester Utd","engPremier League","24","1997","0.8","6","7.20","5","0","1","0","0","0","1","1.20","1","0","0","0","0","0",
"Donny van de Beek","nlNED","MF","Everton","engPremier League","24","1997","5.4","8","1.49","7","0","0","1","0","0","0","0.00","0","0","0","0","0","0",
"Asmir Begović","baBIH","GK","Everton","engPremier League","34","1987","3.0","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Valon Behrami","chSUI","MF,FW","Genoa","itSerie A","36","1985","3.5","5","1.45","4","0","0","1","0","0","1","0.29","1","0","0","0","0","0",
"Kevin Behrens","deGER","FW","Union Berlin","deBundesliga","30","1991","5.5","21","3.79","15","0","3","2","1","0","5","0.90","2","0","1","1","1","0",
"Youcef Belaïli","dzALG","MF,FW","Brest","frLigue 1","29","1992","9.2","36","3.93","18","8","4","4","2","0","4","0.44","3","0","1","0","0","0",
"Vid Belec","siSVN","GK","Salernitana","itSerie A","31","1990","21.5","1","0.05","1","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Ishak Belfodil","dzALG","FW","Hertha BSC","deBundesliga","29","1992","18.2","53","2.92","41","0","4","5","2","1","8","0.44","4","0","1","1","1","1",
"Haris Belkebla","dzALG","MF","Brest","frLigue 1","27","1994","25.7","34","1.32","32","0","0","1","1","0","1","0.04","1","0","0","0","0","0",
"Stefan Bell","deGER","DF","Mainz 05","deBundesliga","29","1991","31.8","23","0.72","21","0","0","2","0","0","2","0.06","1","0","0","1","0","0",
