Name,Value,Fee,From,Direction
"Marcel Heller","€1.25m","free transfer","Darmstadt 98","Left"
"Rani Khedira","€750k","free transfer","Leipzig","Left"
"Marco Richter","€75k","-","FC Augsburg II","Left"
"Julian Günther-Schmidt","€125k","-","FC Augsburg II","Left"
"Erik Thommy","€650k","End of loanJun 30, 2017","J. Regensburg","Left"
"Daniel Opare","€1.25m","End of loanJun 30, 2017","Lens","Left"
"Albian Ajeti","€1.50m","End of loanJun 30, 2017","FC St. Gallen","Left"
"Tim Matavz","€900k","End of loanJun 30, 2017","1.FC Nuremberg","Left"
"Shawn Parker","€300k","End of loanJun 30, 2017","1.FC Nuremberg","Left"
"Raúl Bobadilla","€4.00m","€2.00m","Mönchengladbach","Joined"
"Dominik Kohr","€3.50m","€2.00m","Leverkusen","Joined"
"Paul Verhaegh","€1.00m","€1.50m","Wolfsburg","Joined"
"Albian Ajeti","€1.50m","€1.00m","FC St. Gallen","Joined"
"Konstantinos Stafylidis","€3.50m","Loan fee:€600k","Stoke City","Joined"
"Erik Thommy","€750k","€500k","Stuttgart","Joined"
"Marvin Friedrich","€500k","€300k","Union Berlin","Joined"
"Halil Altıntop","€500k","free transfer","Slavia Praha","Joined"
"Marco Schuster","€125k","free transfer","W. Mannheim","Joined"
"Tim Rieder","€200k","loan transfer","Slask Wroclaw","Joined"
"Julian Günther-Schmidt","€125k","loan transfer","Carl Zeiss Jena","Joined"
"Tim Matavz","€900k","?","Vitesse","Joined"
"Jan-Ingwer Callsen-Bracker","€300k","loan transfer","1.FC K'lautern","Joined"
"Moritz Leitner","€750k","loan transfer","Norwich","Joined"
"Takashi Usami","€1.00m","loan transfer","F. Düsseldorf","Joined"
"Dong-won Ji","€1.00m","loan transfer","Darmstadt 98","Joined"
"Georg Teigl","€600k","loan transfer","E. Braunschweig","Joined"
"Markus Feulner","€300k","-","FC Augsburg II","Joined"
"Kyriakos Papadopoulos","€7.00m","€6.50m","Leverkusen","Left"
"André Hahn","€4.50m","€6.00m","Mönchengladbach","Left"
"Julian Pollersbeck","€2.50m","€3.50m","1.FC K'lautern","Left"
"Rick van Drongelen","€900k","€3.00m","Sparta R.","Left"
"Bjarne Thoelke","€350k","free transfer","Karlsruher SC","Left"
"Fiete Arp","€300k","-","Hamburg U17","Left"
"Vasilije Janjicic","€500k","-","Hamburger SV II","Left"
"Sejad Salihovic","€700k","-","Without Club","Left"
"Tatsuya Ito","€1.00m","-","Hamburger SV II","Left"
"Arianit Ferati","€400k","End of loanDec 31, 2017","Erzgebirge Aue","Left"
"Sven Schipplock","€800k","End of loanJun 30, 2017","Darmstadt 98","Left"
"Batuhan Altıntaş","€600k","End of loanJan 29, 2018","Y. Malatyaspor","Left"
"Batuhan Altıntaş","€600k","End of loanJun 30, 2017","Kasimpasa","Left"
"Arianit Ferati","€400k","End of loanJun 30, 2017","F. Düsseldorf","Left"
"Mohamed Gouaida","€400k","End of loanJun 30, 2017","FC St. Gallen","Left"
"Michael Gregoritsch","€3.50m","€5.50m","Augsburg","Joined"
"Arianit Ferati","€400k","Loan fee:€50k","Erzgebirge Aue","Joined"
"Nabil Bahoui","€500k","free transfer","Grasshoppers","Joined"
"Johan Djourou","€1.50m","free transfer","Antalyaspor","Joined"
"René Adler","€2.00m","free transfer","Mainz","Joined"
"Matthias Ostrzolek","€2.00m","free transfer","Hannover 96","Joined"
"Dren Feka","€100k","free transfer","FC Luzern","Joined"
"Batuhan Altıntaş","€600k","loan transfer","Giresunspor","Joined"
"Pierre-Michel Lasogga","€2.00m","loan transfer","Leeds","Joined"
"Finn Porath","€200k","loan transfer","Unterhaching","Joined"
"Batuhan Altıntaş","€600k","loan transfer","Y. Malatyaspor","Joined"
