Name,Value,Fee,From,Direction
"Cenk Gönen","€650k","€200k","Galatasaray","Left"
"Mehdi Lacen","€800k","free transfer","Getafe","Left"
"Manuel Iturra","€1.50m","free transfer","Necaxa","Left"
"Juankar","€2.50m","free transfer","Braga","Left"
"Adrián González","€3.00m","free transfer","SD Eibar","Left"
"Andrés Prieto","€300k","free transfer","RCD Espanyol B","Left"
"Paul Baysse","€3.50m","free transfer","Nice","Left"
"Maxime Lestienne","€3.00m","free transfer","Rubin Kazan","Left"
"Alberto Bueno","€2.00m","loan transfer","Porto","Left"
"Diego Rolán","€8.00m","loan transfer","G. Bordeaux","Left"
"Samu García","€1.00m","loan transfer","Levante","Left"
"Isaac Success","€4.00m","loan transfer","Watford","Left"
"Brown Ideye","€5.00m","loan transfer","Tianjin JMT Res","Left"
"Roberto","€2.00m","loan transfer","Espanyol","Left"
"Borja Bastón","€10.00m","loan transfer","Swansea","Left"
"Luis Muñoz","-","-","A. Malagueño","Left"
"Álex Mula","-","-","A. Malagueño","Left"
"Miguel Cifuentes","€800k","End of loanJun 30, 2017","Girona","Left"
"Guillermo Ochoa","€3.00m","End of loanJun 30, 2017","Granada CF","Left"
"Adnane Tighadouini","€850k","End of loanJun 30, 2017","Vitesse","Left"
"Ignacio Camacho","€10.00m","€14.00m","Wolfsburg","Joined"
"Pablo Fornals","€10.00m","€12.00m","Villarreal","Joined"
"Sandro Ramírez","€10.00m","€6.00m","Everton","Joined"
"Paul Baysse","€2.50m","€1.00m","G. Bordeaux","Joined"
"Emanuel Cecchini","€2.00m","Loan fee:€400k","León","Joined"
"Ricardo Horta","€1.75m","free transfer","Braga","Joined"
"Carlos Kameni","€2.00m","free transfer","Fenerbahçe","Joined"
"Guillermo Ochoa","€3.00m","free transfer","Standard Liège","Joined"
"Charles","€1.50m","free transfer","SD Eibar","Joined"
"Bakary Koné","€800k","loan transfer","R. Strasbourg","Joined"
"Miguel Cifuentes","€600k","loan transfer","Albacete","Joined"
"Javi Ontiveros","€2.50m","loan transfer","Real Valladolid","Joined"
"Luis Muñoz","€400k","loan transfer","CD Lugo","Joined"
"Adnane Tighadouini","€800k","loan transfer","Twente FC","Joined"
"Michael Santos","€2.50m","loan transfer","Sporting Gijón","Joined"
"Mikel Villanueva","€1.00m","loan transfer","Cádiz CF","Joined"
"Álex Mula","€400k","loan transfer","CD Tenerife","Joined"
"Jony","€1.50m","loan transfer","Sporting Gijón","Joined"
"Duda","-","-","Retired","Joined"
"Weligton","-","-","Retired","Joined"
"Martín Demichelis","€200k","-","Retired","Joined"
"Juankar","€2.50m","End of loanJun 30, 2017","Braga","Joined"
"Diego Llorente","€7.50m","End of loanJun 30, 2017","Real Madrid","Joined"
"José Rodríguez","€1.00m","End of loanJun 30, 2017","Mainz","Joined"
"Denys Boyko","€1.00m","End of loanJun 30, 2017","Besiktas","Joined"
"Simone Zaza","€15.00m","€16.00m","Juventus","Left"
"Francis Coquelin","€12.00m","€14.00m","Arsenal","Left"
"Gabriel Paulista","€13.00m","€11.00m","Arsenal","Left"
"Neto","€6.00m","€7.00m","Juventus","Left"
"Fabián Orellana","€3.00m","€3.00m","Celta de Vigo","Left"
"Andreas Pereira","€5.00m","Loan fee:€3.00m","Man Utd","Left"
"Jeison Murillo","€13.00m","Loan fee:€1.00m","Inter","Left"
"Nemanja Maksimovic","€3.00m","free transfer","FC Astana","Left"
"Geoffrey Kondogbia","€18.00m","loan transfer","Inter","Left"
"Gonçalo Guedes","€17.00m","loan transfer","PSG","Left"
"Luciano Vietto","€10.00m","loan transfer","Atlético","Left"
"Toni Lato","€3.00m","-","Valencia B","Left"
"Nacho Gil","€300k","-","Valencia B","Left"
"Ferran Torres","€1.00m","-","Valencia B","Left"
"Nacho Vidal","€300k","-","Valencia B","Left"
"Aderllan Santos","€3.00m","End of loanApr 23, 2018","São Paulo","Left"
"Mathew Ryan","€3.50m","End of loanJun 30, 2017","Genk","Left"
"Vinícius Araújo","€700k","End of loanJun 30, 2017","SD Huesca","Left"
"Rober Ibáñez","€1.50m","End of loanJun 30, 2017","CD Leganés","Left"
"Rúben Vezo","€1.50m","End of loanJun 30, 2017","Granada CF","Left"
"Álvaro Negredo","€7.50m","End of loanJun 30, 2017","Middlesbrough","Left"
"Pablo Piatti","€6.00m","End of loanJun 30, 2017","Espanyol","Left"
"Yoel Rodríguez","€2.50m","End of loanJun 30, 2017","SD Eibar","Left"
"Mathew Ryan","€3.50m","€6.00m","Brighton","Joined"
"Enzo Pérez","€8.00m","€2.50m","River Plate","Joined"
"Álvaro Negredo","€7.50m","€2.50m","Besiktas","Joined"
"Nani","€10.00m","Loan fee:€2.00m","Lazio","Joined"
"Pablo Piatti","€6.00m","€1.30m","Espanyol","Joined"
"Aderllan Santos","€3.50m","Loan fee:€800k","São Paulo","Joined"
"Yoel Rodríguez","€2.50m","€750k","SD Eibar","Joined"
"Fabián Orellana","€2.00m","Loan fee:€400k","SD Eibar","Joined"
"Diego Alves","€5.00m","€300k","Flamengo","Joined"
"Vinícius Araújo","€700k","free transfer","Real Zaragoza","Joined"
"Rober Ibáñez","€1.50m","free transfer","Getafe","Joined"
"Aymen Abdennour","€6.00m","loan transfer","Marseille","Joined"
"Aderllan Santos","€3.00m","loan transfer","EC Vitória","Joined"
"Zakaria Bakkali","€2.00m","loan transfer","Dep. La Coruña","Joined"
"João Cancelo","€20.00m","loan transfer","Inter","Joined"
"Álvaro Medrán","€2.50m","loan transfer","Alavés","Joined"
"Nacho Gil","€300k","loan transfer","UD Las Palmas","Joined"
"Guilherme Siqueira","€1.50m","End of loanJun 30, 2017","Atlético","Joined"
"Fabián Orellana","€3.00m","End of loanJun 30, 2017","Celta de Vigo","Joined"
"Simone Zaza","€15.00m","End of loanJun 30, 2017","Juventus","Joined"
"Eliaquim Mangala","€15.00m","End of loanJun 30, 2017","Man City","Joined"
"Munir El Haddadi","€9.00m","End of loanJun 30, 2017","Barcelona","Joined"
"Mario Suárez","€6.00m","End of loanJun 30, 2017","Watford","Joined"
"Emre Mor","€5.00m","€13.00m","Dortmund","Left"
"Stanislav Lobotka","€1.00m","€5.00m","Nordsjaelland","Left"
"Maxi Gómez","€1.10m","€4.30m","Defensor SC","Left"
"Jozabed Sánchez","€3.50m","€3.50m","Fulham","Left"
"Robert Mazan","€500k","€1.00m","MSK Zilina","Left"
"Lucas Boyé","€2.00m","loan transfer","Torino","Left"
"Iván Villar","€300k","-","Celta Vigo B","Left"
