Plyaer, Nation, Position, Team, League, Age, Born, 90s, TotCmp, TotAtt, TotCmp%, TotDist, PrgDist,ShortCmp, ShortAtt, ShortCmp%,MedCmp, MedAtt, MedCmp%,LongCmp, LongAtt, LongCmp%,Ast, xAG, xA, A-xG, KeyPasses, PassIntoFinal3rd, PassintoPenaltyArea, CrossesintoPenaltyArea, ProgressivePasses,Matches
"Ola Toivonen","seSWE","FW,MF","Toulouse","frLigue 1","31","1986","8.9","231","326","70.9","3712","956","127","170","74.7","71","99","71.7","24","35","68.6","0","0.4","0.8","-0.4","8","31","8","1","41",
"Karl Toko Ekambi","cmCMR","FW,MF","Angers","frLigue 1","24","1992","33.8","720","953","75.6","10382","1690","416","515","80.8","197","257","76.7","50","65","76.9","6","5.8","3.3","+0.2","47","37","30","5","76",
"Hernán Toledo","arARG","FW,MF","Las Palmas","esLa Liga","21","1996","6.9","113","173","65.3","1385","419","77","98","78.6","30","50","60.0","1","5","20.0","1","0.9","0.8","+0.1","6","6","3","1","15",
"Corentin Tolisso","frFRA","MF","Bayern Munich","deBundesliga","22","1994","17.5","1148","1281","89.6","21295","6085","482","518","93.1","509","557","91.4","139","158","88.0","4","2.9","3.6","+1.1","19","202","24","1","191",
"Jeremy Toljan","deGER","DF,FW","Hoffenheim","deBundesliga","22","1994","2.0","68","81","84.0","1162","258","35","40","87.5","25","29","86.2","7","9","77.8","2","0.1","0.0","+1.9","1","3","0","0","1",
"Jeremy Toljan","deGER","DF","Dortmund","deBundesliga","22","1994","13.5","675","837","80.6","10482","3083","337","381","88.5","268","320","83.8","40","76","52.6","2","1.3","1.2","+0.7","12","47","7","2","66",
"Rafael Tolói","itITA","DF","Atalanta","itSerie A","26","1990","27.2","1360","1698","80.1","27592","10852","492","565","87.1","631","736","85.7","225","343","65.6","2","1.6","1.3","+0.4","13","129","14","3","149",
"James Tomkins","engENG","DF","Crystal Palace","engPremier League","28","1989","26.5","727","892","81.5","14749","5898","240","264","90.9","368","427","86.2","111","183","60.7","0","0.1","0.7","-0.1","1","39","1","0","45",
"Nenad Tomović","rsSRB","DF","Fiorentina","itSerie A","29","1987","1.5","84","100","84.0","1502","616","38","41","92.7","38","46","82.6","8","12","66.7","0","0.1","0.2","-0.1","2","7","2","2","10",
"Nenad Tomović","rsSRB","DF","Chievo","itSerie A","29","1987","25.6","864","1063","81.3","15991","6317","363","390","93.1","377","442","85.3","104","185","56.2","0","0.2","0.4","-0.2","1","43","5","2","65",
"Lorenzo Tonelli","itITA","DF","Napoli","itSerie A","27","1990","3.9","218","232","94.0","3231","1331","109","113","96.5","83","87","95.4","13","15","86.7","0","0.0","0.3","0.0","0","10","0","0","14",
"Aleksandar Tonev","bgBUL","FW,MF","Crotone","itSerie A","27","1990","4.5","69","119","58.0","956","260","40","59","67.8","18","32","56.3","3","12","25.0","0","0.2","0.2","-0.2","3","5","4","2","6",
"Toño","esESP","DF","Levante","esLa Liga","27","1989","12.0","443","589","75.2","7402","2914","247","275","89.8","145","193","75.1","45","97","46.4","1","1.0","0.7","0.0","7","44","12","7","49",
"Ömer Toprak","trTUR","DF","Dortmund","deBundesliga","28","1989","22.4","1665","1856","89.7","32564","11233","525","569","92.3","946","1012","93.5","176","243","72.4","1","0.8","0.9","+0.2","5","132","2","0","111",
"Vasilis Torosidis","grGRE","DF","Bologna","itSerie A","32","1985","9.1","308","419","73.5","5125","2038","146","168","86.9","128","163","78.5","24","60","40.0","0","0.2","0.2","-0.2","4","21","7","4","31",
"Emanuele Torrasi","itITA","MF","Milan","itSerie A","18","1999","0.1","","","","","","","","","","","","","","","0","","","","","","","","",
"Emanuele Torrasi","itITA","MF","Milan","itSerie A","18","1999","0.1","11","11","100.0","115","24","9","9","100.0","2","2","100.0","0","0","","0","0.0","0.0","0.0","0","1","0","0","0",
"Lucas Torreira","uyURU","MF","Sampdoria","itSerie A","21","1996","35.3","1938","2316","83.7","32416","11740","940","1030","91.3","777","886","87.7","171","310","55.2","1","2.8","3.1","-1.8","36","202","26","2","213",
"Daniel Torres","coCOL","MF","Alavés","esLa Liga","27","1989","13.5","420","514","81.7","7635","2847","190","212","89.6","172","203","84.7","52","76","68.4","0","0.3","0.5","-0.3","7","53","5","1","56",
"Fernando Torres","esESP","FW","Atlético Madrid","esLa Liga","33","1984","10.9","147","248","59.3","1882","401","95","143","66.4","31","59","52.5","8","16","50.0","0","0.4","0.3","-0.4","5","11","6","0","24",
"Ferrán Torres","esESP","MF","Valencia","esLa Liga","17","2000","3.5","68","110","61.8","1005","379","46","63","73.0","17","26","65.4","4","13","30.8","1","0.8","0.7","+0.2","4","4","3","0","11",
"Miguel Torres","esESP","DF","Málaga","esLa Liga","31","1986","7.5","248","306","81.0","4098","2180","118","127","92.9","101","125","80.8","22","42","52.4","0","0.1","0.1","-0.1","2","17","1","1","25",
"Pau Torres","esESP","DF","Villarreal","esLa Liga","20","1997","0.6","20","32","62.5","428","175","6","9","66.7","10","12","83.3","4","8","50.0","0","0.0","0.0","0.0","0","0","0","0","2",
"Jordan Torunarigha","deGER","DF","Hertha BSC","deBundesliga","19","1997","7.4","265","336","78.9","5898","2105","68","82","82.9","146","161","90.7","51","88","58.0","0","0.1","0.0","-0.1","1","22","0","0","18",
"Alin Toșca","roROU","DF","Benevento","itSerie A","25","1992","13.0","635","727","87.3","11377","4512","260","283","91.9","314","336","93.5","53","85","62.4","0","0.1","0.2","-0.1","2","46","1","1","53",
"Alin Toșca","roROU","DF","Betis","esLa Liga","25","1992","4.7","182","217","83.9","3015","1093","96","107","89.7","65","80","81.3","16","20","80.0","0","0.0","0.1","0.0","1","11","3","1","16",
"Cenk Tosun","trTUR","FW","Everton","engPremier League","26","1991","11.0","187","272","68.8","2224","358","114","149","76.5","32","50","64.0","10","17","58.8","0","1.4","0.7","-1.4","15","7","4","1","9",
"Jérémy Toulalan","frFRA","DF","Bordeaux","frLigue 1","33","1983","21.0","889","1051","84.6","17997","8242","324","342","94.7","428","473","90.5","125","212","59.0","0","0.1","0.2","-0.1","2","68","1","1","91",
"Abdoulaye Touré","gnGUI","MF","Nantes","frLigue 1","23","1994","31.2","1075","1372","78.4","18398","6247","491","572","85.8","407","502","81.1","125","197","63.5","1","0.9","1.4","+0.1","19","154","15","4","184",
"Almamy Touré","mlMLI","DF","Monaco","frLigue 1","21","1996","13.9","464","657","70.6","7362","3894","243","296","82.1","180","250","72.0","31","69","44.9","5","2.6","1.7","+2.4","17","40","12","8","62",
"Thomas Touré","ciCIV","FW","Bordeaux","frLigue 1","23","1993","0.1","1","3","33.3","46","37","0","0","","0","1","0.0","1","1","100.0","0","0.0","0.0","0.0","0","1","0","0","1",
"Thomas Touré","ciCIV","MF","Angers","frLigue 1","23","1993","1.4","43","53","81.1","582","205","26","29","89.7","14","19","73.7","1","1","100.0","1","0.7","0.3","+0.3","4","4","2","1","5",
"Yaya Touré","ciCIV","MF","Manchester City","engPremier League","34","1983","2.6","390","417","93.5","5702","1707","240","252","95.2","116","123","94.3","23","29","79.3","2","0.9","1.2","+1.1","7","43","7","0","50",
"Lucas Tousart","frFRA","MF","Lyon","frLigue 1","20","1997","34.8","1323","1545","85.6","22331","5495","584","664","88.0","587","651","90.2","108","144","75.0","0","0.6","0.5","-0.6","13","75","5","0","105",
"Andros Townsend","engENG","FW,MF","Crystal Palace","engPremier League","26","1991","34.7","870","1226","71.0","13034","3886","501","573","87.4","259","384","67.4","68","160","42.5","7","7.2","5.4","-0.2","65","64","48","14","104",
"Adama Traoré","mlMLI","MF,FW","Monaco","frLigue 1","22","1995","2.1","61","74","82.4","930","225","31","36","86.1","22","24","91.7","5","9","55.6","0","0.0","0.2","0.0","1","4","1","0","8",
"Bertrand Traoré","bfBFA","FW","Lyon","frLigue 1","21","1995","25.4","838","1039","80.7","11923","2845","481","564","85.3","255","316","80.7","49","64","76.6","4","2.7","2.6","+1.3","26","58","24","2","82",
"Charles Traore","mlMLI","DF","Troyes","frLigue 1","25","1992","33.3","1314","1756","74.8","21470","9461","668","758","88.1","490","635","77.2","114","250","45.6","3","3.5","2.3","-0.5","20","97","23","10","129",
"Hamari Traoré","mlMLI","DF","Rennes","frLigue 1","25","1992","29.3","1348","1752","76.9","22577","9677","677","757","89.4","506","656","77.1","128","247","51.8","1","1.3","2.2","-0.3","19","113","21","7","134",
"Ibrahima Traoré","gnGUI","MF","Gladbach","deBundesliga","29","1988","2.2","92","122","75.4","1652","524","41","46","89.1","36","47","76.6","11","21","52.4","0","0.3","0.6","-0.3","5","7","8","6","14",
"Ismaël Traoré","ciCIV","DF","Angers","frLigue 1","30","1986","31.7","932","1118","83.4","19655","7773","246","271","90.8","546","602","90.7","132","212","62.3","1","0.3","0.2","+0.7","4","32","3","1","42",
"Lacina Traoré","ciCIV","FW","Amiens","frLigue 1","27","1990","8.7","114","214","53.3","1628","383","67","115","58.3","26","52","50.0","12","20","60.0","2","0.7","0.5","+1.3","11","18","3","0","16",
"Kevin Trapp","deGER","GK","Paris S-G","frLigue 1","27","1990","4.0","85","92","92.4","1808","1270","19","19","100.0","57","58","98.3","8","13","61.5","0","0.0","0.0","0.0","0","0","0","0","0",
"Manu Trigueros","esESP","MF","Villarreal","esLa Liga","25","1991","30.0","1612","1912","84.3","29669","8839","714","777","91.9","651","738","88.2","218","308","70.8","4","3.8","3.5","+0.2","43","191","28","5","189",
"Kieran Trippier","engENG","DF","Tottenham","engPremier League","26","1990","21.3","1262","1638","77.0","23952","7379","470","528","89.0","624","760","82.1","150","290","51.7","5","4.2","2.9","+0.8","40","88","44","10","114",
"Marcello Trotta","itITA","FW","Crotone","itSerie A","24","1992","25.1","513","741","69.2","7790","1622","300","389","77.1","146","206","70.9","42","64","65.6","2","1.6","1.6","+0.4","27","30","9","3","55",
"Philipp Tschauner","deGER","GK","Hannover 96","deBundesliga","31","1985","31.0","810","1151","70.4","24821","19154","110","112","98.2","331","342","96.8","362","687","52.7","0","0.0","0.1","0.0","0","14","0","0","0",
"Axel Tuanzebe","cdCOD","FW","Manchester Utd","engPremier League","19","1997","0.0","0","0","","0","0","0","0","","0","0","","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Marco Tumminello","itITA","FW","Crotone","itSerie A","18","1998","2.3","50","76","65.8","766","117","29","42","69.0","14","22","63.6","4","5","80.0","1","0.4","0.1","+0.6","1","2","2","1","3",
"Marco Tumminello","itITA","FW","Roma","itSerie A","18","1998","0.0","0","0","","0","0","0","0","","0","0","","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Ľubomír Tupta","skSVK","MF,FW","Hellas Verona","itSerie A","19","1998","0.4","9","13","69.2","137","35","3","6","50.0","5","6","83.3","0","0","","0","0.0","0.0","0.0","1","2","0","0","4",
"Josh Tymon","engENG","DF","Stoke City","engPremier League","18","1999","1.8","76","91","83.5","1265","377","41","44","93.2","25","32","78.1","6","8","75.0","0","0.0","0.0","0.0","0","8","0","0","6",
"Przemysław Tytoń","plPOL","GK","La Coruña","esLa Liga","30","1987","1.1","17","28","60.7","508","358","1","1","100.0","9","9","100.0","7","18","38.9","0","0.0","0.0","0.0","0","0","0","0","0",
"Matthieu Udol","frFRA","DF","Metz","frLigue 1","21","1996","3.9","130","176","73.9","2269","964","62","65","95.4","54","68","79.4","12","34","35.3","0","0.0","0.1","0.0","0","10","1","0","5",
"Anthony Ujah","ngNGA","FW","Mainz 05","deBundesliga","26","1990","2.3","25","55","45.5","352","35","12","28","42.9","7","12","58.3","2","5","40.0","0","0.2","0.1","-0.2","4","1","1","1","1",
"Leonardo Ulloa","arARG","FW","Leicester City","engPremier League","31","1986","0.2","12","14","85.7","179","36","5","5","100.0","4","5","80.0","1","1","100.0","0","0.3","0.0","-0.3","1","1","0","0","2",
"Leonardo Ulloa","arARG","FW","Brighton","engPremier League","31","1986","3.0","86","122","70.5","1027","263","58","76","76.3","20","29","69.0","0","1","0.0","0","0.2","0.3","-0.2","6","9","3","0","15",
"Sven Ulreich","deGER","GK","Bayern Munich","deBundesliga","28","1988","29.0","734","951","77.2","20298","15496","117","117","100.0","375","379","98.9","242","449","53.9","0","0.0","0.0","0.0","0","6","0","0","0",
"Samuel Umtiti","frFRA","DF","Barcelona","esLa Liga","23","1993","24.3","1483","1628","91.1","26965","9644","587","622","94.4","736","778","94.6","143","189","75.7","0","0.1","0.3","-0.1","1","115","1","0","112",
"Enes Ünal","trTUR","FW","Villarreal","esLa Liga","20","1997","12.5","205","286","71.7","2352","582","146","179","81.6","43","65","66.2","3","5","60.0","2","1.7","1.6","+0.3","9","12","3","0","19",
"Enes Ünal","trTUR","FW","Levante","esLa Liga","20","1997","6.6","104","140","74.3","1173","195","71","94","75.5","24","34","70.6","0","1","0.0","1","0.5","0.2","+0.5","5","7","1","0","9",
"Cengiz Ünder","trTUR","FW","Roma","itSerie A","20","1997","13.9","300","450","66.7","4651","1116","166","207","80.2","82","127","64.6","32","63","50.8","2","2.0","2.2","0.0","23","9","26","9","33",
"Dayot Upamecano","frFRA","DF","RB Leipzig","deBundesliga","18","1998","25.2","1224","1464","83.6","24392","9433","431","497","86.7","599","673","89.0","176","252","69.8","0","0.7","0.9","-0.7","8","60","5","0","109",
"Mark Uth","deGER","FW","Hoffenheim","deBundesliga","25","1991","24.2","418","570","73.3","6703","1466","219","284","77.1","137","174","78.7","38","54","70.4","8","4.3","2.7","+3.7","29","27","25","6","44",
"Francis Uzoho","ngNGA","GK","La Coruña","esLa Liga","18","1998","2.0","20","48","41.7","770","685","1","1","100.0","6","6","100.0","13","40","32.5","0","0.0","0.0","0.0","0","0","0","0","0",
"Valentín Vada","arARG","MF","Bordeaux","frLigue 1","21","1996","9.6","511","610","83.8","7517","1929","281","305","92.1","147","176","83.5","36","65","55.4","1","0.4","0.7","+0.6","7","45","8","2","59",
"Josha Vagnoman","deGER","MF","Hamburger SV","deBundesliga","16","2000","0.2","2","3","66.7","26","21","1","1","100.0","1","2","50.0","0","0","","0","0.0","0.0","0.0","0","1","0","0","0",
"Sauli Väisänen","fiFIN","DF","SPAL","itSerie A","23","1994","6.0","238","266","89.5","4514","1746","94","105","89.5","118","124","95.2","26","35","74.3","0","0.0","0.1","0.0","1","14","1","0","17",
"Mirko Valdifiori","itITA","MF","Torino","itSerie A","31","1986","6.9","328","406","80.8","5664","1934","151","164","92.1","135","170","79.4","30","51","58.8","0","0.3","0.5","-0.3","4","36","7","2","40",
"Antonio Valencia","ecECU","DF","Manchester Utd","engPremier League","31","1985","30.4","1624","1962","82.8","22647","8135","961","1033","93.0","462","555","83.2","96","200","48.0","1","1.2","2.5","-0.2","23","91","24","10","84",
"Gerard Valentín","esESP","DF,FW","La Coruña","esLa Liga","24","1993","1.8","35","55","63.6","629","309","15","18","83.3","15","25","60.0","4","9","44.4","0","0.0","0.0","0.0","0","2","0","0","3",
"Borja Valero","esESP","MF","Inter","itSerie A","32","1985","28.5","1856","2058","90.2","29992","7777","973","1031","94.4","627","683","91.8","180","223","80.7","0","1.8","1.7","-1.8","35","206","21","1","236",
"Borja Valle","esESP","FW,MF","La Coruña","esLa Liga","25","1992","5.4","103","141","73.0","1511","277","63","71","88.7","29","48","60.4","7","11","63.6","2","1.2","0.6","+0.8","9","6","7","2","12",
"Jesús Vallejo","esESP","DF","Real Madrid","esLa Liga","20","1997","7.0","319","366","87.2","6507","2306","98","108","90.7","177","189","93.7","44","67","65.7","0","0.0","0.0","0.0","0","9","0","0","18",
"Mattia Valoti","itITA","MF,FW","Hellas Verona","itSerie A","23","1993","17.5","431","620","69.5","7404","2170","234","300","78.0","121","181","66.9","56","92","60.9","0","0.8","0.7","-0.8","11","41","4","1","56",
"Federico Valverde","uyURU","MF,FW","La Coruña","esLa Liga","19","1998","13.7","447","593","75.4","7941","2267","237","282","84.0","145","192","75.5","55","77","71.4","0","0.9","1.0","-0.9","11","56","10","2","66",
"Virgil van Dijk","nlNED","DF","Southampton","engPremier League","26","1991","11.0","544","638","85.3","10773","3485","176","194","90.7","297","321","92.5","64","107","59.8","0","1.0","1.3","-1.0","3","27","2","0","42",
"Virgil van Dijk","nlNED","DF","Liverpool","engPremier League","26","1991","14.0","1023","1140","89.7","20881","7404","295","317","93.1","577","613","94.1","136","191","71.2","0","1.2","0.8","-1.2","5","61","2","0","82",
"Raphaël Varane","frFRA","DF","Real Madrid","esLa Liga","24","1993","25.8","1211","1339","90.4","24144","8452","434","460","94.3","591","635","93.1","169","214","79.0","1","0.5","0.2","+0.5","6","86","2","0","66",
"Jamie Vardy","engENG","FW","Leicester City","engPremier League","30","1987","36.1","290","507","57.2","4471","789","147","223","65.9","90","166","54.2","27","46","58.7","1","3.0","3.3","-2.0","32","14","14","4","31",
"Cédric Varrault","frFRA","DF","Dijon","frLigue 1","37","1980","9.8","370","437","84.7","7152","2989","126","138","91.3","206","226","91.2","35","64","54.7","0","0.1","0.6","-0.1","3","21","1","0","34",
"Franco Vázquez","arARG","MF","Sevilla","esLa Liga","28","1989","20.4","655","915","71.6","9906","2769","367","448","81.9","213","280","76.1","46","85","54.1","6","5.1","2.6","+0.9","41","74","24","5","117",
"Lucas Vázquez","esESP","MF,FW","Real Madrid","esLa Liga","26","1991","18.7","818","1014","80.7","11947","2704","515","563","91.5","218","273","79.9","55","91","60.4","7","5.8","6.1","+1.2","51","47","50","15","94",
"Matías Vecino","uyURU","MF","Inter","itSerie A","25","1991","23.7","1413","1620","87.2","21875","6458","768","834","92.1","522","582","89.7","86","122","70.5","2","2.8","3.2","-0.8","23","171","19","1","179",
"Koke Vegas","esESP","GK","Levante","esLa Liga","21","1995","1.0","15","29","51.7","481","392","2","2","100.0","6","6","100.0","7","21","33.3","0","0.0","0.0","0.0","0","0","0","0","0",
"Carlos Vela","mxMEX","FW","Real Sociedad","esLa Liga","28","1989","4.2","160","209","76.6","2510","919","89","100","89.0","44","58","75.9","18","33","54.5","0","0.5","0.6","-0.5","9","15","8","0","28",
