Name, Nation, Position, Club, League, Age, YearBorn,90s,GoalsAllowed,PKAllowed,FKAllowed,CornersAllowed,OwnGoalsAllowed,PostShotxG,PostShotxGPerShotOnTarget, PostShotxG-GoalsAllowed,PostShotxG-GoalsAllowed90,LaunchesCmp,LaunchesAtt,LaunchesCmp%,PassesAtt,ThrowsAtt,Launch%,AvgLenPass,GoalKicksAtt,GoalKicksLaunch%,AvgLenGoalKick,CrossesFaced,CrossesStopped,CrossesStopped%,DefActionsOutsidePenArea,DefActionsOutsidePenArea90,AvgDistDefAct,Matches
"Jeffrey De Lange","nlNED","GK","Marseille","frLigue 1","27-240","1998","3.0","3","0","0","0","0","3.3","0.30","+0.3","+0.09","4","15","26.7","82","7","14.6","23.2","7","42.9","36.6","33","0","0.0","2","0.67","14.6",
"Théo De Percin","mqMTQ","GK","Auxerre","frLigue 1","24-298","2001","2.5","4","0","0","0","0","3.0","0.28","-1.0","-0.42","16","52","30.8","73","6","56.2","42.4","12","91.7","60.5","41","3","7.3","5","1.99","16.6",
"Rémy Descamps","frFRA","GK","Lyon","frLigue 1","29-155","1996","4.0","3","0","0","1","1","4.8","0.40","+2.8","+0.71","5","27","18.5","112","15","19.6","28.4","13","38.5","38.7","59","2","3.4","3","0.75","12.9",
"Michele Di Gregorio","itITA","GK","Juventus","itSerie A","28-123","1997","11.0","10","1","0","2","0","9.6","0.28","-0.4","-0.04","32","85","37.6","302","47","22.2","30.1","43","41.9","38.0","152","10","6.6","9","0.82","12.7",
"Mory Diaw","snSEN","GK","Le Havre","frLigue 1","32-158","1993","13.0","20","3","0","2","1","16.6","0.27","-2.4","-0.19","64","175","36.6","418","65","32.3","31.7","92","43.5","36.5","203","22","10.8","15","1.15","13.2",
"Yehvann Diouf","snSEN","GK","Nice","frLigue 1","26-011","1999","13.0","23","4","0","4","0","23.8","0.27","+0.8","+0.06","43","123","35.0","370","69","25.4","29.4","49","59.2","42.3","229","17","7.4","8","0.62","10.9",
"Matías Dituro","arARG","GK","Elche","esLa Liga","38-203","1987","6.0","6","1","0","0","0","5.5","0.23","-0.5","-0.08","55","123","44.7","341","20","31.4","30.9","28","57.1","46.2","75","9","12.0","22","3.67","16.9",
"Marko Dmitrović","rsSRB","GK","Espanyol","esLa Liga","33-307","1992","13.0","16","1","1","2","0","14.9","0.26","-1.1","-0.08","66","203","32.5","314","51","50.6","40.0","70","62.9","51.8","178","12","6.7","12","0.92","13.4",
"Gianluigi Donnarumma","itITA","GK","Manchester City","engPremier League","26-275","1999","9.0","6","0","0","3","0","7.2","0.31","+1.2","+0.13","23","75","30.7","224","30","27.2","29.3","22","63.6","42.7","112","7","6.3","4","0.44","10.3",
"Martin Dúbravka","skSVK","GK","Burnley","engPremier League","36-316","1989","12.0","24","3","0","4","3","23.5","0.31","+2.5","+0.21","77","258","29.8","305","54","46.6","36.1","127","91.3","64.4","241","9","3.7","3","0.25","8.3",
"Aarón Escandell","esESP","GK","Oviedo","esLa Liga","30-061","1995","13.0","20","2","0","5","0","25.9","0.28","+5.9","+0.45","68","188","36.2","402","42","38.1","34.0","80","43.8","37.5","216","8","3.7","26","2.00","15.8",
"Wladimiro Falcone","itITA","GK","Lecce","itSerie A","30-229","1995","12.0","16","2","0","2","0","18.0","0.32","+2.0","+0.17","65","235","27.7","305","34","63.3","43.8","51","82.4","53.5","165","8","4.8","16","1.33","12.5",
"Jonathan Fischer","dkDEN","GK","Metz","frLigue 1","24-018","2001","12.2","26","4","0","1","1","26.7","0.33","+1.7","+0.14","43","122","35.2","452","51","19.7","27.1","62","53.2","43.2","176","6","3.4","10","0.82","12.1",
"Mark Flekken","nlNED","GK","Leverkusen","deBundesliga","32-167","1993","11.0","15","2","0","5","1","14.0","0.26","0.0","0.00","38","123","30.9","355","41","24.2","30.3","66","56.1","45.7","138","4","2.9","12","1.09","14.8",
"Joan García","esESP","GK","Barcelona","esLa Liga","24-207","2001","7.0","4","1","0","1","0","6.5","0.30","+2.5","+0.36","8","15","53.3","199","54","6.5","23.8","19","10.5","28.6","68","4","5.9","30","4.29","21.2",
"Paulo Gazzaniga","arARG","GK","Girona","esLa Liga","33-329","1992","11.5","19","2","1","3","0","22.7","0.33","+3.7","+0.32","40","154","26.0","370","52","30.3","32.4","56","75.0","54.6","193","5","2.6","16","1.40","16.2",
"David de Gea","esESP","GK","Fiorentina","itSerie A","35-020","1990","12.0","19","3","0","3","0","18.8","0.29","-0.2","-0.02","59","166","35.5","334","44","41.9","35.5","50","52.0","43.5","161","3","1.9","7","0.58","12.8",
